longitude,latitude,details
-74.04305, 40.72006, "Burger King; USA"
-122.34039, 47.46871, "Burger King; USA"
-122.25471, 47.45323, "Burger King; USA"
-118.24372, 34.03280, "Burger King; USA"
-81.88848, 26.52173, "Burger King; USA"
-81.96815, 26.65486, "Burger King; USA"
-81.90437, 26.55659, "Burger King; USA"
-81.87167, 26.54806, "Burger King; USA"
-81.95370, 26.56289, "Burger King; USA"
-81.94083, 26.63328, "Burger King; USA"
-81.80321, 26.54731, "Burger King; USA"
-81.87189, 26.60420, "Burger King; USA"
-81.88769, 26.66476, "Burger King; USA"
-118.35160, 33.94510, "Burger King; USA"
-118.34283, 33.91617, "Burger King; USA"
-97.33558, 37.70142, "Burger King; USA"
-97.28745, 37.66478, "Burger King; USA"
-97.24797, 37.63160, "Burger King; USA"
-97.26245, 37.72136, "Burger King; USA"
-97.44424, 37.69484, "Burger King; USA"
-97.36608, 37.72296, "Burger King; USA"
-97.38939, 37.67806, "Burger King; USA"
-91.65828, 42.03556, "Burger King; USA"
-118.30905, 33.93247, "Burger King; USA"
-81.57643, 41.11250, "Burger King; USA"
-122.55568, 45.62102, "Burger King; USA"
-122.56026, 45.66352, "Burger King; USA"
-122.65249, 45.71746, "Burger King; USA"
-122.66229, 45.67735, "Burger King; USA"
-71.42298, 41.82920, "Burger King; USA"
-71.41089, 41.85846, "Burger King; USA"
-71.42085, 41.81498, "Burger King; USA"
-71.49823, 41.82374, "Burger King; USA"
-96.70113, 40.81693, "Burger King; USA"
-122.74913, 45.44103, "Burger King; USA"
-122.74471, 45.39501, "Burger King; USA"
-122.79431, 45.49017, "Burger King; USA"
-122.78957, 45.44722, "Burger King; USA"
-122.78536, 45.48652, "Burger King; USA"
-122.84211, 45.52938, "Burger King; USA"
-122.21585, 37.77961, "Burger King; USA"
-122.21634, 37.77305, "Burger King; USA"
-122.25362, 37.83243, "Burger King; USA"
-122.27185, 37.80323, "Burger King; USA"
-78.33876, 39.00513, "Burger King; USA"
-118.18923, 33.80453, "Burger King; USA"
-118.13921, 33.78743, "Burger King; USA"
-117.03234, 32.54649, "Burger King; USA"
-117.10884, 32.58403, "Burger King; USA"
-117.17191, 32.69888, "Burger King; USA"
-117.09863, 32.67791, "Burger King; USA"
-117.15464, 32.77707, "Burger King; USA"
-118.11520, 34.14599, "Burger King; USA"
-118.13246, 34.15909, "Burger King; USA"
-117.96600, 34.08512, "Burger King; USA"
-88.20106, 41.83064, "Burger King; USA"
-88.14312, 41.85757, "Burger King; USA"
-88.26115, 41.73256, "Burger King; USA"
-88.31470, 41.77674, "Burger King; USA"
-88.31214, 41.85122, "Burger King; USA"
-88.36779, 41.76464, "Burger King; USA"
-122.71740, 38.45411, "Burger King; USA"
-122.71348, 38.41075, "Burger King; USA"
-122.71494, 38.36386, "Burger King; USA"
-122.70963, 38.35102, "Burger King; USA"
-118.00183, 33.65722, "Burger King; USA"
-117.85945, 33.70867, "Burger King; USA"
-82.63466, 27.77567, "Burger King; USA"
-76.45605, 37.05786, "Burger King; USA"
-76.23856, 36.79431, "Burger King; USA"
-76.30235, 36.88431, "Burger King; USA"
-76.17707, 36.85660, "Burger King; USA"
-76.24292, 36.75702, "Burger King; USA"
-76.40220, 36.86221, "Burger King; USA"
-76.25182, 36.78732, "Burger King; USA"
-76.19856, 36.91794, "Burger King; USA"
-76.25391, 36.95599, "Burger King; USA"
-76.46067, 37.05103, "Burger King; USA"
-76.27427, 36.85470, "Burger King; USA"
-76.23776, 36.89166, "Burger King; USA"
-76.50269, 37.13053, "Burger King; USA"
-117.17857, 33.13761, "Burger King; USA"
-117.05725, 33.13496, "Burger King; USA"
-117.08821, 33.12944, "Burger King; USA"
-80.43708, 27.44760, "Burger King; USA"
-95.69920, 39.05137, "Burger King; USA"
-95.68758, 39.00076, "Burger King; USA"
-95.65162, 39.01672, "Burger King; USA"
-95.76183, 39.05083, "Burger King; USA"
-157.70889, 21.28533, "Burger King; USA"
-157.84900, 21.30595, "Burger King; USA"
-157.86904, 21.31408, "Burger King; USA"
-157.87976, 21.32818, "Burger King; USA"
-157.82531, 21.27710, "Burger King; USA"
-157.82601, 21.27640, "Burger King; USA"
-118.23947, 34.14263, "Burger King; USA"
-118.22231, 34.20470, "Burger King; USA"
-118.57017, 34.20099, "Burger King; USA"
-118.58737, 34.25706, "Burger King; USA"
-118.59462, 34.20107, "Burger King; USA"
-118.75936, 34.14520, "Burger King; USA"
-118.41118, 34.27403, "Burger King; USA"
-118.43790, 34.29830, "Burger King; USA"
-88.00662, 42.09464, "Burger King; USA"
-87.98954, 42.13912, "Burger King; USA"
-88.10182, 42.18747, "Burger King; USA"
-88.07896, 42.04516, "Burger King; USA"
-74.06836, 40.72512, "Burger King; USA"
-74.08990, 40.70271, "Burger King; USA"
-74.04571, 40.72191, "Burger King; USA"
-73.99492, 40.93581, "Burger King; USA"
-74.08060, 40.70906, "Burger King; USA"
-74.03889, 40.72615, "Burger King; USA"
-74.04919, 40.74626, "Burger King; USA"
-74.04093, 40.73011, "Burger King; USA"
-74.06037, 40.73135, "Burger King; USA"
-73.95398, 40.96995, "Burger King; USA"
-74.09784, 40.89743, "Burger King; USA"
